Timestamp,Score,What is your age?,What is your employment status? ,What is your gender?,How many people live in your household (including yourself)? ,What is your primary mode of transportation?,Which bus line(s) do you use most often in Almere?,What time do you usually leave for work/school?,How long is your one-way commute?,How many days per week do you commute?,How crowded is your usual bus during peak hours?,What issues frustrate you most about Almere Bus line?,Do you currently use any app to check bus schedules ? ,Taking public transport is convenient for me.,Most people I know use public transport or recommend it.,I can easily change my travel time if I want to avoid a crowd.,I would change my departure time if I knew my usual bus was full.,I care about reducing traffic congestion and pollution.,I feel in control of when and how I travel during the week.,I rarely think about how crowded the bus will be when planning my trip.,"Even if a bus is full, it doesn't affect my travel choices.","If your usual bus is 90% full when it arrives, what would you most likely do?",Would you be open to using an app that gives personal travel advice based on real-time crowd levels?,Why do you prefer (or not prefer) avoiding crowded buses?,Does this current app show the crowd level in the buses,"  Would you be willing to use an app that not only shows how full a bus is likely to be, but also provides feedback on your travel habits based on a brief conversation with a chatbot  ","  Would you be open to having a short 3–5 step conversation with a chatbot about your journey, instead of using traditional origin–destination travel apps, in order to receive personalized travel suggestions tailored to your specific trip  ",Column 26,Column 25
27/07/2025 17:57:32,,35,employed,Male,2,Bus,None,08:00:00,15-30 minutes,5+ days,I Dont use bus,None of the above,No,3,3,3,3,3,3,3,3,I don’t use bus,..,..,No,No,No,,
28/07/2025 03:52:21,,35,employed,Male,3,Bus,M7,08:45:00,More than 45 minutes,I work remotely,Slightly crowded,Long walking distance to stops,Yes,3,2,4,4,1,4,3,4,Board anyway,Maybe,Crowding is not the most important factor for me when deciding what/when to take public transport,No,No,No,,
28/07/2025 05:58:51,,36,employed,Male,2,Bus,M7,09:00:00,Less than 15 minutes,3-4 days,Not crowded,None of the above,Yes,5,5,1,1,2,5,5,5,Board anyway,"No, because both Google and NS planner already do this and it doesn’t change my decision to travel. I don’t even notice it because I have to go when I have to go. People deciding to board same time as me doesn’t change anything ","Because the important of my destination(work) is the decider of when I arrive, not my mode of transportation ",Yes,No,No,,
28/07/2025 06:57:29,,33,employed,Female,2,Bus,NA,08:00:00,31-45 minutes,5+ days,Slightly crowded,None of the above,Yes,5,5,1,5,5,4,5,5,Board anyway,Yes,Comfort is important when commuting via bus so crowded buses are a no ,No,yes,Yes,,
28/07/2025 07:14:57,,30,Part-time,Female,4,Bus,M7,08:00:00,15-30 minutes,3-4 days,Slightly crowded,"Cost, None of the above",Yes,3,3,2,5,4,4,4,4,Board anyway,Yes,For convenience I prefer when it’s not crowded as I just dislike squashing myself between people ,No,yes,Yes,,
28/07/2025 07:22:20,,33,employed,Female,4,Bus,M6,09:00:00,Less than 15 minutes,3-4 days,Slightly crowded,"Delays, No real-time updates, Cost",Yes,3,4,4,2,3,4,4,5,Board anyway,Maybe,Mostly because I have planned by that time. I can’t avoid crowded bus. Also M6 comes every 10mins during the week ,No,yes,Maybe,,
28/07/2025 07:22:20,,35,employed,Male,3,Bus,330,10:00:00,45+ minutes,1-2 days,Crowded,None of the above,No,5,2,1,1,4,2,4,2,Board anyway,Yes,The heat and lack of ventilation on a crowded bus are unbearable.,No,No,No,,
28/07/2025 07:22:20,,33,employed,Female,2,Bus,322,8:00:00,15-30 minutes,1-2 days,Slightly crowded,Late buses,No,3,4,3,5,2,1,3,1,Board anyway,Yes,I am concerned about my belongings getting stolen in crowded situations.,No,No,No,,
28/07/2025 07:22:20,,30,Part-time,Female,4,Bus,N23,7:00:00,31-45 minutes,5+ days,Slightly crowded,Late buses,No,4,2,5,4,3,5,3,5,Board anyway,Yes,It's just more pleasant to have some personal space.,Yes,No,No,,
28/07/2025 07:22:20,,33,employed,Female,4,Bus,M5,9:00:00,Less than 15 minutes,3-4 days,Slightly crowded,Late buses,No,3,4,2,2,3,3,4,3,Board anyway,Maybe,It's just more pleasant to have some personal space.,No,yes,Yes,,
28/07/2025 07:22:20,,50,unemployed,Male,2,Bus,330,10:00:00,45+ minutes,1-2 days,Crowded,Crowding,No,4,2,5,2,2,3,3,3,Board anyway,Maybe,I prefer avoiding crowded buses for personal space and safety reasons.,No,yes,Yes,,
28/07/2025 07:22:20,,27,student,Other,5,Bus,M2,10:00:00,45+ minutes,3-4 days,Crowded,Late buses,Yes,3,4,5,5,5,1,3,1,Board anyway,No,It's hard to get on and off a crowded bus, especially with luggage or a bike.,No,yes,Maybe,,
28/07/2025 07:22:20,,36,employed,Female,5,Bus,N22,10:00:00,45+ minutes,1-2 days,Slightly crowded,Late buses,No,4,4,2,4,4,3,1,3,I don’t use bus,Yes,I want to avoid getting sick, so I prefer less crowded spaces.,No,No,No,,
28/07/2025 07:22:20,,59,student,Male,5,Bus,M7,10:00:00,Less than 15 minutes,3-4 days,Crowded,Late buses,Yes,3,1,1,3,2,5,3,5,Board anyway,Yes,A crowded bus can be stressful and less relaxing during my commute.,No,No,No,,
28/07/2025 07:22:20,,43,student,Female,1,Bus,330,10:00:00,31-45 minutes,3-4 days,Not crowded,None of the above,No,1,4,3,3,4,5,1,5,Board anyway,Maybe,Avoiding crowded buses helps me feel more in control of my travel experience.,No,No,No,,
28/07/2025 07:22:20,,49,Part-time,Male,1,Bus,M1,9:00:00,31-45 minutes,5+ days,Not crowded,None of the above,No,1,2,2,1,2,5,2,5,Board anyway,Maybe,It's easier to social distance when the bus is not crowded.,Yes,No,No,,
28/07/2025 07:22:20,,25,employed,Other,4,Bus,M7,9:00:00,Less than 15 minutes,5+ days,Slightly crowded,Late buses,Yes,5,1,4,2,3,2,5,2,Board anyway,No,I don't mind a slightly crowded bus, but a very full one is a no-go.,No,yes,Yes,,
28/07/2025 07:22:20,,45,student,Female,1,Bus,24,9:00:00,15-30 minutes,1-2 days,Not crowded,None of the above,Yes,2,5,2,2,1,1,2,1,Board anyway,Yes,I have a long commute, so a crowded bus makes it even more tiring.,No,yes,Yes,,
28/07/2025 07:22:20,,36,unemployed,Female,1,Bus,M4,8:00:00,45+ minutes,1-2 days,Not crowded,Late buses,No,1,4,1,4,4,1,3,1,Board anyway,Yes,I want to be able to focus on my book or podcast without distractions.,No,yes,Maybe,,
28/07/2025 07:22:20,,30,unemployed,Male,4,Bus,24,7:00:00,15-30 minutes,1-2 days,Slightly crowded,None of the above,No,4,5,2,4,3,3,2,3,Board anyway,Maybe,Avoiding crowded buses helps me feel more in control of my travel experience.,No,yes,Yes,,
28/07/2025 07:22:21,,45,employed,Male,5,Bus,M7,8:00:00,31-45 minutes,1-2 days,Crowded,Service is not frequent enough,Yes,4,5,1,2,2,4,3,4,Board anyway,Yes,I am concerned about my belongings getting stolen in crowded situations.,No,yes,Maybe,,
28/07/2025 07:22:22,,35,student,Other,5,Bus,327,9:00:00,Less than 15 minutes,1-2 days,Slightly crowded,None of the above,No,2,4,3,2,4,5,5,5,Board anyway,Yes,I want to be able to focus on my book or podcast without distractions.,No,No,No,,
28/07/2025 07:22:23,,41,Part-time,Other,5,Bus,326,8:00:00,15-30 minutes,1-2 days,Crowded,Service is not frequent enough,No,4,2,4,1,5,1,1,1,Board anyway,Yes,I have a long commute, so a crowded bus makes it even more tiring.,No,No,No,,
28/07/2025 07:22:24,,18,unemployed,Other,1,Bus,M3,7:00:00,Less than 15 minutes,1-2 days,Slightly crowded,Service is not frequent enough,Yes,5,1,4,2,3,2,4,2,Board anyway,No,I feel claustrophobic on crowded buses.,No,No,No,,
28/07/2025 07:22:25,,38,Part-time,Male,1,Bus,327,8:00:00,31-45 minutes,5+ days,Not crowded,Late buses,No,2,1,2,1,2,5,2,5,Board anyway,Yes,Crowded buses are uncomfortable and make it difficult to find a seat.,Yes,No,No,,
29/08/2025 05:22:20,,49,student,Other,2,Bus,M8,8:00:00,45+ minutes,1-2 days,Not crowded,Crowding,Yes,5,4,5,3,1,1,4,1,I don’t use bus,Maybe,A crowded bus can be stressful and less relaxing during my commute.,No,yes,Yes,,
29/08/2025 05:22:21,,43,Part-time,Female,3,Bus,330,8:00:00,Less than 15 minutes,5+ days,Crowded,Service is not frequent enough,No,4,5,2,4,1,1,1,1,Board anyway,Yes,I want to avoid getting sick, so I prefer less crowded spaces.,No,yes,Yes,,
29/08/2025 05:22:22,,31,unemployed,Male,2,Bus,M6,7:00:00,15-30 minutes,5+ days,Not crowded,Service is not frequent enough,No,2,5,5,1,5,5,1,5,Board anyway,Yes,I feel claustrophobic on crowded buses.,No,yes,Maybe,,
29/08/2025 05:22:23,,23,unemployed,Other,4,Bus,M7,7:00:00,15-30 minutes,3-4 days,Slightly crowded,None of the above,No,5,5,5,2,2,3,5,3,Board anyway,Yes,I don't mind a slightly crowded bus, but a very full one is a no-go.,No,No,No,,
29/08/2025 05:22:24,,31,unemployed,Female,5,Bus,330,8:00:00,31-45 minutes,1-2 days,Slightly crowded,None of the above,Yes,4,1,1,1,1,4,2,4,Board anyway,No,A crowded bus can be stressful and less relaxing during my commute.,No,No,No,,
29/08/2025 05:22:25,,48,unemployed,Male,3,Bus,M3,10:00:00,31-45 minutes,1-2 days,Very crowded,Service is not frequent enough,No,5,3,5,1,5,1,4,1,Board anyway,Yes,Avoiding crowded buses helps me feel more in control of my travel experience.,No,No,No,,
29/08/2025 05:22:26,,22,student,Other,3,Bus,M5,8:00:00,15-30 minutes,5+ days,Slightly crowded,Service is not frequent enough,No,1,2,2,3,4,1,3,1,Board anyway,Yes,Crowded buses are uncomfortable and make it difficult to find a seat.,Yes,No,No,,
29/08/2025 05:22:27,,29,employed,Male,5,Bus,330,8:00:00,Less than 15 minutes,3-4 days,Not crowded,Late buses,Yes,2,3,1,2,1,1,5,1,Board anyway,No,I feel claustrophobic on crowded buses.,No,yes,Yes,,
29/08/2025 05:22:28,,55,unemployed,Female,1,Bus,24,10:00:00,Less than 15 minutes,3-4 days,Not crowded,None of the above,Yes,3,5,3,4,3,2,5,2,Board anyway,Yes,A crowded bus can be stressful and less relaxing during my commute.,No,yes,Yes,,
30/08/2025 14:22:20,,36,student,Other,3,Bus,M3,7:00:00,Less than 15 minutes,1-2 days,Slightly crowded,Late buses,Yes,3,4,3,3,4,4,5,4,Board anyway,Yes,It's just more pleasant to have some personal space.,No,yes,Maybe,,
30/08/2025 14:22:21,,47,student,Male,2,Bus,N23,7:00:00,15-30 minutes,5+ days,Slightly crowded,Overcrowding, Cost,No,4,4,1,4,2,5,5,5,Board anyway,Yes,Crowded buses are uncomfortable and make it difficult to find a seat.,No,yes,Yes,,
30/08/2025 14:22:22,,60,student,Other,2,Bus,M4,7:00:00,15-30 minutes,3-4 days,Crowded,Delays,Yes,1,1,1,1,4,3,1,3,Board anyway,Yes,Crowded buses are uncomfortable and make it difficult to find a seat.,No,yes,Maybe,,
30/08/2025 14:22:23,,40,student,Other,4,Bus,330,10:00:00,Less than 15 minutes,5+ days,Very crowded,Overcrowding, Delays, Cost,No,1,5,5,5,5,5,4,5,Board anyway,Maybe,It's easier to social distance when the bus is not crowded.,No,No,No,,
30/08/2025 14:22:24,,32,Part-time,Female,5,Bus,M5,9:00:00,45+ minutes,5+ days,Slightly crowded,Overcrowding, Delays,No,5,3,4,2,5,4,4,4,I don’t use bus,Yes,I am concerned about my belongings getting stolen in crowded situations.,No,No,No,,
30/08/2025 14:22:25,,29,unemployed,Male,5,Bus,M7,10:00:00,45+ minutes,5+ days,Very crowded,Delays,No,3,2,5,4,4,2,2,2,Board anyway,Maybe,I avoid crowded buses because of the risk of being jostled or pushed around.,No,No,No,,
30/08/2025 14:22:26,,45,Part-time,Male,5,Bus,M8,7:00:00,45+ minutes,1-2 days,Very crowded,Overcrowding, Long wait time,Yes,3,5,5,4,1,4,5,4,Board anyway,Yes,Crowded buses are uncomfortable and make it difficult to find a seat.,Yes,No,No,,
30/08/2025 14:22:27,,27,Part-time,Female,4,Bus,330,8:00:00,Less than 15 minutes,1-2 days,Slightly crowded,Overcrowding,Yes,4,3,3,5,1,2,1,2,Board anyway,Maybe,I am not in a hurry, so I can afford to wait for the next bus if it's too crowded.,No,yes,Yes,,
30/08/2025 14:22:28,,30,unemployed,Female,2,Bus,M8,9:00:00,15-30 minutes,3-4 days,Crowded,Long walking distance to stops,No,4,4,3,2,1,1,2,1,Board anyway,No,I feel claustrophobic on crowded buses.,No,yes,Yes,,
